Fakultas,2013,2014,2015,2016,2017,2018,2019
Hukum (S2),,,,23,20,40,78
Ilmu Pertanian,,,,,9,17,21
Magister Administrasi Publik,,,,16,3,33,37
Magister Akuntansi,,,,14,2,20,29
Magister Manajemen,,,,14,7,65,69
Pendidikan Bahasa Indonesia (S2),,,,2,,19,9
Pendidikan Bahasa Inggris,,,,17,6,28,10
Pendidikan Matematika S2,,,,9,5,22,14
Teknologi Pendidikan (S2),,,,4,8,53,58
Teknik Kimia (S2),,,,,,,35
Ilmu Komunikasi (S2),,,,,,,16
Hukum (S1),43,49,158,364,369,388,365
Pendidikan Bahasa Indonesia (S1),9,5,19,66,80,106,95
Pendidikan Bahasa Inggris,7,12,19,112,122,131,110
Pendidikan Guru Pendidikan Anak Usia Dini,9,7,19,72,77,62,48
Pendidikan Pancasila dan Kewarganegaraan,,4,20,46,48,34,69
Pendidikan Vokasional Teknik Elektro,,18,11,23,32,28,54
Pendidikan Vokasional Teknik Mesin,,11,19,20,22,20,42
Pendidikan Matematika,8,4,30,94,111,99,89
Pendidikan Fisika,,,3,35,38,32,57
Pendidikan Kimia,,2,20,42,31,35,64
Pendidikan Biologi,10,32,75,103,93,102,94
Pendidikan Sejarah,,4,25,37,43,34,66
Pendidikan Non Formal,3,9,24,60,61,103,85
Pendidikan Khusus,,,9,41,47,41,62
Pendidikan Guru Sekolah Dasar,7,4,24,126,129,126,113
Bimbingan Dan Konseling,,1,15,54,46,51,77
Pendidikan Seni Pertunjukan,,,27,41,39,30,57
Pendidikan Sosiologi,,3,19,52,39,40,72
Pendidikan IPA,,2,9,32,39,36,71
Teknik Industri,6,7,16,106,90,78,101
Teknik Mesin,18,12,30,72,74,67,86
Teknik Sipil,11,9,24,104,95,69,75
Teknik Elektro,26,34,47,81,93,61,92
Teknik Kimia,8,22,47,83,97,85,106
Teknik Metalurgi,9,20,36,75,81,61,92
Agribisnis,9,15,25,115,83,127,158
Agroekoteknologi,17,10,24,92,88,115,139
Ilmu Perikanan,13,15,35,57,70,64,87
Teknologi Pangan,,,,,,42,93
Akuntansi,12,24,56,156,138,147,130
Ilmu Ekonomi Pembangunan,15,42,55,76,79,69,78
Ekonomi Syariah,,,19,38,48,44,36
Manajemen,1,7,21,216,127,172,135
Akuntansi (D3),,,5,2,70,67,52
Perbankan dan Keuangan (D3),,,1,3,38,37,31
Manajemen Pemasaran (D3),,2,,5,30,21,14
Perpajakan (D3),,,4,8,40,64,50
Administrasi Publik,22,22,52,111,135,151,142
Ilmu Komunikasi,15,17,51,132,129,157,184
Ilmu Pemerintahan,,7,48,101,100,121,102
Kedokteran,,,,,,,50
Gizi,,,,,,,39
Ilmu Keolahragaan,,,,,,,31
Keperawatan (D3),,,,1,118,113,116
