Program Studi,Jenjang,s.d. 2014,2015,2016,2017,2018,2019
Teknologi Pendidikan,S2,965,121,147,99,126,58
Pendidikan Bahasa Indonesia,S2,264,21,52,59,25,25
Hukum,S2,51,57,78,52,51,36
Magister Akuntansi,S2,,,27,50,35,39
Magister Adminitrasi Publik,S2,,,7,33,22,6
Magister Manajemen,S2,,,13,23,88,64
Pendidikan Bahasa Inggris,S2,,,,,,73
Pendidikan Matematika,S2,,,,,,43
Hukum,S1,2825,152,90,217,258,269
Pendidikan Luar Sekolah,D1,193,,,,,
Pendidikan Luar Sekolah,D3,193,,,,,
Pendidikan Non Formal,S1,1862,73,63,86,33,33
Administrasi Pendidikan,S1,495,,,,,
Pendidikan Bahasa Indonesia,S1,2346,139,95,162,95,66
PGTK,D2,633,,,,,
Pendidikan Bahasa Inggris,S1,1052,217,131,114,110,105
Pendidikan Matematika,S1,803,107,92,95,44,65
Pendidikan Biologi,S1,603,148,117,99,66,60
Pendidikan Guru Sekolah Dasar,S1,183,294,98,162,112,131
Pendidikan Anak Usia Dini,S1,86,64,68,62,78,67
Pendidikan Fisika,S1,,,,,13,43
Pendidikan IPA,S1,,,,,4,28
Pendidikan Kimia,S1,,,,,8,30
Pendidikan Teknik Elektro,S1,,,,,1,10
Pendidikan Teknik Mesin,S1,,,,,,14
Bimbingan dan Konseling,S1,,,,,19,37
Pendidikan Pancasila dan Kewarganegaraan,S1,,,,,29,48
Pendidikan Khusus,S1,,,,,6,34
Pendidikan Sejarah,S1,,,,,3,18
Pend. Seni Pertunjukan,S1,,,,,,19
Pendidikan Sosiologi,S1,,,,,7,36
Teknik Mesin,S1,692,70,65,72,54,86
Teknik Elektro,S1,488,30,51,49,57,59
Teknik Industri,S1,1207,63,95,89,88,93
Teknik Metalurgi,S1,396,31,44,45,90,80
Teknik Kimia,S1,921,76,28,70,64,58
Teknik Sipil,S1,164,40,91,60,59,93
TKJ,D3,109,,,,,
TKM,D3,17,,,,,
Agribisnis ,S1,773,88,84,102,104,83
Agroekoteknologi,S1,316,68,91,93,80,75
Perikanan,S1,61,42,83,78,80,66
Manajemen,S1,3108,224,222,163,131,144
Akuntansi,S1,1530,180,131,146,107,159
Ekonomi Pembangunan,S1,73,68,62,95,94,86
Ekonomi Syariah,S1,,,,,,25
Akuntansi,D3,98,80,63,52,29,41
Manajemen Pemasaran,D3,48,17,54,79,22,28
Perpajakan,D3,65,59,69,53,41,40
Perbankan & Keuangan  ,D3,58,50,58,56,37,39
Ilmu Adm. Negara,S1,710,100,95,149,106,97
Ilmu Komunikasi,S1,690,82,108,122,108,86
Ilmu Pemerintahan,S1,,,,,14,29
Kedokteran,S1,,,,,,
Gizi,S1,,,,,,
Ilmu Keolahragaan,S1,,,,,,
Keperawatan,D3,,,,,121,119
